Page,Pageviews,Unique Pageviews,Avg. Time on Page,Bounce Rate,% Exit
/dataset/covid-19--support-for-businesses?fbclid=IwAR1C1gYN2i94qCuslV0t4sOG-c7EMnytnGnMhdan4jxepd_tcrQWupa29XA,1,1,00:00:00,100.00%,100.00%
/dataset/covid-19--support-for-businesses?fbclid=IwAR1njEG1VkZhbJNORYA1zap35vLfQ7UI-_Jbq7gMiCw-Xz8aPtJPKHHzUW4,1,1,00:00:00,100.00%,100.00%
/dataset/covid-19--support-for-businesses?fbclid=IwAR1wkGyN1vVyIchcz_nmHmenQ1FWb5Jf7rip_HN8X6LBs38iJndRrjSsmVA,1,1,00:00:00,100.00%,100.00%
/dataset/covid-19--support-for-businesses?fbclid=IwAR1X51zv_DZpgYcmh3s2gBriVH1vlO-o6Cu0IXzSWcRZoxPMQp5lkEWCxxI,1,1,00:00:00,100.00%,100.00%
/dataset/covid-19--support-for-businesses?fbclid=IwAR2_Skxv5ZYHlZpCFJRXQLZV3JKchXpYC7SBY1G33zP3DirWjm3QKGEkOOk,1,1,00:00:00,100.00%,100.00%
/dataset/covid-19--support-for-businesses?fbclid=IwAR2fWvO91tQuwNmxmlsptSDqOkFzKnipobPdnSIn5n9TAaxN-XBmSnDR354,1,1,00:00:00,100.00%,100.00%
/dataset/covid-19--support-for-businesses?fbclid=IwAR2vZCDVMdd5yJ_0TLrp8yqFMY6aN0vFf-a0uQE83OXwL0ACglUsaHOHj6s,1,1,00:00:00,100.00%,100.00%
/dataset/covid-19--support-for-businesses?fbclid=IwAR2X57u8WoFY-tEgCpXpNgiYabCfRPZKr2i7BBJfCpCJX5zuwIqO6h2KAII,1,1,00:00:00,100.00%,100.00%
/dataset/covid-19--support-for-businesses?fbclid=IwAR3B2PBRJngafjKwrLg8mClu-DINj3tzS-Ee7a6TB3Dy_MalR9tFG_lsy1Y,1,1,00:00:00,100.00%,100.00%
/dataset/covid-19--support-for-businesses?fbclid=IwAR3Pj5vWJlSPLpV2jOcs92mjlP8HkjvRRQ8pJ-Qf-uk4XhFZu5MiIMoaW1w,1,1,00:00:00,100.00%,100.00%
/dataset/covid-19--support-for-businesses?fbclid=IwAR3W9FlU8OqslGWU8ai_u4Ye3tyATeBf9txQqDqKu3wzOxyD76BOMpwM2Eo,1,1,00:00:00,100.00%,100.00%
